id,user_id,post_id,post_title,rating,comment,timestamp
1,101,55,How AI Transforms Education,5,Loved the clarity and examples!,2026-04-06
2,102,55,How AI Transforms Education,3,Good content but too long.,2026-04-05
3,103,56,Cloud Computing Basics,1,Page crashed while loading.,2026-04-04
4,104,57,Hackathon Tips,4,"Very useful, but add more visuals.",2026-04-03
5,105,58,Ethical Automation in Blogging,5,"Great insights, especially on reproducibility.",2026-04-02
6,106,58,Ethical Automation in Blogging,2,Too technical for beginners.,2026-04-01
7,107,59,Plagiarism Detection with Public Datasets,4,"Helpful overview, but needs more code samples.",2026-03-31
8,108,59,Plagiarism Detection with Public Datasets,5,Exactly what I needed for my project!,2026-03-30
9,109,60,Cloud Deployment with FastAPI,3,"Good start, but deployment steps unclear.",2026-03-29
10,110,60,Cloud Deployment with FastAPI,5,Loved the step-by-step guidance!,2026-03-28
11,111,61,Multi-Agent Blogging Systems,4,"Solid architecture explanation, but diagrams missing.",2026-03-27
12,112,61,Multi-Agent Blogging Systems,5,Trace diagrams were very helpful!,2026-03-26
13,113,62,Google Cloud Integration,2,Setup instructions were confusing.,2026-03-25
14,114,62,Google Cloud Integration,4,Worked well once I followed carefully.,2026-03-24
15,115,63,Recruiter-Friendly Portfolio Design,5,Loved the practical examples!,2026-03-23
16,116,63,Recruiter-Friendly Portfolio Design,3,Could use more screenshots.,2026-03-22
17,117,64,Human-Centric Automation,4,Balanced ethics and tech nicely.,2026-03-21
18,118,64,Human-Centric Automation,2,"Too abstract, wanted concrete steps.",2026-03-20
19,119,65,BigQuery Dataset Integration,5,"Clear instructions, dataset loaded perfectly.",2026-03-19
20,120,65,BigQuery Dataset Integration,3,"Some queries failed, needs troubleshooting tips.",2026-03-18
21,121,66,Hackathon Demo Scripts,4,"Good flow, but add more visuals.",2026-03-17
22,122,66,Hackathon Demo Scripts,5,Perfect for my presentation!,2026-03-16
23,123,67,Ethical Plagiarism Detection,5,Loved the reproducibility focus.,2026-03-15
24,124,67,Ethical Plagiarism Detection,2,"Too much theory, not enough practice.",2026-03-14
25,125,68,Cloud Run Deployment,4,"Deployment worked, but logs unclear.",2026-03-13
26,126,68,Cloud Run Deployment,5,"Smooth deployment, thanks!",2026-03-12
27,127,69,Centralized Tools.py Design,3,"Concept good, but code snippets missing.",2026-03-11
28,128,69,Centralized Tools.py Design,5,Loved the modular approach!,2026-03-10
29,129,70,Hybrid Plagiarism Agent,4,"Integration worked, but API docs unclear.",2026-03-09
30,130,70,Hybrid Plagiarism Agent,5,Exactly what I needed for benchmarking!,2026-03-08
